url	status	bytes	final_url	note
https://doi.org/10.2478/hukin-2022-0045	200	26107	https://jhk.termedia.pl/Training-with-a-Heavy-Puck-Elicits-a-Higher-Increase-of-Shooting-Speed-Than-Unloaded,158706,0,2.html	-
https://en.wikipedia.org/wiki/2-1-2_forecheck	200	15824	https://en.wikipedia.org/wiki/2-1-2_forecheck	-
https://doi.org/10.1177/19417381251415412	200	14223	https://journals.sagepub.com/action/cookieAbsent	-
https://en.wikipedia.org/wiki/Captain_(ice_hockey	404	10665	https://en.wikipedia.org/wiki/Captain_(ice_hockey	-
https://en.wikipedia.org/wiki/Analytics_(ice_hockey	404	10669	https://en.wikipedia.org/wiki/Analytics_(ice_hockey	-
https://en.wikipedia.org/wiki/Butterfly_style	200	29183	https://en.wikipedia.org/wiki/Butterfly_style	-
https://en.wikipedia.org/wiki/Attentional_control	200	59386	https://en.wikipedia.org/wiki/Attentional_control	-
https://en.wikipedia.org/wiki/Choking_under_pressure	200	92398	https://en.wikipedia.org/wiki/Choking_under_pressure	-
https://en.wikipedia.org/wiki/Expected_goals	200	55402	https://en.wikipedia.org/wiki/Expected_goals	-
https://doi.org/10.1520/STP15246S	403	3473	https://dl.astm.org/stps/book/754/chapter/123789/A-Profile-of-Rule-Infractions-in-Bantam-Level-Ice (retry 403	-
https://doi.org/10.1520/STP24041S	403	3485	https://dl.astm.org/stps/book/457/chapter/88703/Effects-of-Body-Checking-in-the-Pee-Wee-12-and-13 (retry 403	-
https://en.wikipedia.org/wiki/Corsi_(statistic	404	10655	https://en.wikipedia.org/wiki/Corsi_(statistic	-
https://en.wikipedia.org/wiki/Goals_against_average	200	18617	https://en.wikipedia.org/wiki/Goals_against_average	-
https://doi.org/10.3758/bf03212979	200	87610	https://link.springer.com/article/10.3758/BF03212979?error=cookies_not_supported&code=799e8d6c-7f82-47df-ada0-d04d88c2fd35	-
https://en.wikipedia.org/wiki/Hand_pass	200	22465	https://en.wikipedia.org/wiki/Hand_pass	-
https://en.wikipedia.org/wiki/Hockey_stop	200	18359	https://en.wikipedia.org/wiki/Hockey_stop	-
https://en.wikipedia.org/wiki/Fighting_in_ice_hockey	200	84272	https://en.wikipedia.org/wiki/Fighting_in_ice_hockey	-
https://en.wikipedia.org/wiki/Ice_hockey_rink	200	32468	https://en.wikipedia.org/wiki/Ice_hockey_rink	-
https://en.wikipedia.org/wiki/Left_wing_lock	200	20384	https://en.wikipedia.org/wiki/Left_wing_lock	-
https://en.wikipedia.org/wiki/Neutral_zone_trap	200	21883	https://en.wikipedia.org/wiki/Neutral_zone_trap	-
https://en.wikipedia.org/wiki/Save_percentage	200	16010	https://en.wikipedia.org/wiki/Save_percentage	-
https://en.wikipedia.org/wiki/Saucer_pass	200	20388	https://en.wikipedia.org/wiki/Saucer_pass	-
https://en.wikipedia.org/wiki/Fenwick_(statistic	404	10658	https://en.wikipedia.org/wiki/Fenwick_(statistic	-
https://en.wikipedia.org/wiki/Extra_attacker	200	27286	https://en.wikipedia.org/wiki/Extra_attacker	-
https://en.wikipedia.org/wiki/Self-efficacy	200	92408	https://en.wikipedia.org/wiki/Self-efficacy	-
https://en.wikipedia.org/wiki/Goaltender	200	87827	https://en.wikipedia.org/wiki/Goaltender	-
https://en.wikipedia.org/wiki/Icing_(ice_hockey	404	10671	https://en.wikipedia.org/wiki/Icing_(ice_hockey	-
https://en.wikipedia.org/wiki/Line_(ice_hockey	404	10665	https://en.wikipedia.org/wiki/Line_(ice_hockey	-
https://en.wikipedia.org/wiki/Plus-minus_(ice_hockey	404	10680	https://en.wikipedia.org/wiki/Plus-minus_(ice_hockey	-
https://en.wikipedia.org/wiki/Yerkes%E2%80%93Dodson_law	200	23599	https://en.wikipedia.org/wiki/Yerkes%E2%80%93Dodson_law	-
https://en.wikipedia.org/wiki/Offside_(ice_hockey	404	10674	https://en.wikipedia.org/wiki/Offside_(ice_hockey	-
https://en.wikipedia.org/wiki/Two-line_pass	200	30150	https://en.wikipedia.org/wiki/Two-line_pass	-
https://europepmc.org/article/MED/36159342	200	8203	https://europepmc.org/article/MED/36159342	-
https://en.wikipedia.org/wiki/Practice_(learning_method	404	10679	https://en.wikipedia.org/wiki/Practice_(learning_method	-
https://europepmc.org/article/MED/37734743	200	8203	https://europepmc.org/article/MED/37734743	-
https://europepmc.org/article/MED/39256936	200	8202	https://europepmc.org/article/MED/39256936	-
https://europepmc.org/article/MED/39551738	200	8203	https://europepmc.org/article/MED/39551738	-
https://europepmc.org/article/MED/35949380	200	8203	https://europepmc.org/article/MED/35949380	-
https://europepmc.org/article/MED/37999430	200	8202	https://europepmc.org/article/MED/37999430	-
https://europepmc.org/article/MED/40249909	200	8202	https://europepmc.org/article/MED/40249909	-
https://europepmc.org/article/MED/40267420	200	8203	https://europepmc.org/article/MED/40267420	-
https://europepmc.org/article/MED/40513717	200	8203	https://europepmc.org/article/MED/40513717	-
https://europepmc.org/article/MED/39654844	200	8203	https://europepmc.org/article/MED/39654844	-
https://europepmc.org/article/MED/12239001	200	8202	https://europepmc.org/article/MED/12239001	-
https://europepmc.org/article/MED/40653669	200	8202	https://europepmc.org/article/MED/40653669	-
https://europepmc.org/article/MED/36517860	200	8202	https://europepmc.org/article/MED/36517860	-
https://europepmc.org/article/MED/36457463	200	8203	https://europepmc.org/article/MED/36457463	-
https://europepmc.org/article/MED/40827942	200	8203	https://europepmc.org/article/MED/40827942	-
https://europepmc.org/article/MED/40843917	200	8203	https://europepmc.org/article/MED/40843917	-
https://europepmc.org/article/MED/41201748	200	8203	https://europepmc.org/article/MED/41201748	-
https://europepmc.org/article/MED/40741926	200	8203	https://europepmc.org/article/MED/40741926	-
https://europepmc.org/article/MED/41150478	200	8203	https://europepmc.org/article/MED/41150478	-
https://europepmc.org/article/MED/39132412	200	8203	https://europepmc.org/article/MED/39132412	-
